StartLotKey,WaferId,P_02281_P,P_04928_P,P_05104_P,P_05844_P,P_06198_P,P_06199_P,P_08812_P,P_09320_P,P_09357_P,P_09360_P,P_09366_P,P_09851_P,P_10334_P,P_15926_P,P_16779_P,P_16780_P,P_16874_P,P_16875_P,P_16969_P,P_18071_P,P_00037_P,P_00065_P,P_00097_P,P_00125_P,P_00169_P,P_00863_P,P_00864_P,P_00881_P,P_00882_P,P_03186_P,P_03233_P,P_04800_P,P_05602_P,P_08907_P,P_09529_P,P_00862_P,P_07882_P,Label
4140233,0233-07,0.356,-4008.84,3145,0.643,97.919,96.972,0.214,0.22,87.828,85.429,88.866,-0.027,103.281,0.334,-31.919,-29.768,-699.242,-652.6,-82.904,478.3,17.652,39.33,34.528,18.198,34.778,310.601,203.937,0.515,0.759,21.055,24.146,5.81,599.6,-327.55,-432.2,1.1491E+11,838.9,Low
4155473,5473-04,0.378,-3098.35,3231.2,0.674,100.536,97.888,0.292,0.184,86.44,85.161,88.676,-0.054,95.844,0.354,-32.854,-30.96,-711.237,-671.8,-87.841,451.8,15.349,34.547,32.11,15.408,31.087,283.617,210.645,0.43,0.274,21.774,24.425,6.253,603.6,-358.65,-422.6,1.08475E+11,801.6,Low
4162983,2983-06,0.376,-2977.44,3110,0.69,98.736,101.559,0.589,0.19,86.128,86.099,88.26,-0.07,93.031,0.352,-32.702,-30.364,-709.596,-666.2,-87.752,444.7,174.437,37.755,31.985,17.054,34.709,277.435,251.902,0.27,0.139,21.792,24.383,6.512,558.2,-338.35,-421.4,1.69492E+11,796,Low
4173913,3913-04,0.34,-4302.15,3174,0.658,101.772,95.851,0.37,0.172,85.692,86.378,87.187,-0.032,101.375,0.355,-32.55,-30.252,-708.333,-664.4,-87.803,473.5,16.453,38.338,31.413,17.49,32.844,275.675,218.75,0.184,0.392,21.152,24.236,6.028,578.55,-1547.5,-419.4,83186000000,833.8,Low
4140233,0233-19,0.358,-3886.26,3129.4,0.66,95.725,94.937,0.514,0.205,87.52,86.447,88.843,-0.022,103.047,0.336,-31.755,-29.538,-692.046,-646.4,-81.111,480.7,17.215,39.532,35.125,18.261,34.592,329.182,204.108,0.141,0.152,21.081,24.209,5.904,609.65,-324.25,-432.2,1.44248E+11,843.7,Low
4148003,8003-20,0.36,-3328.42,3265,0.668,99.649,97.738,0.162,0.185,85.906,85.946,88.778,-0.027,100.047,0.347,-33.03,-31.012,-715.53,-674.4,-89.975,457.9,15.117,34.377,31.798,15.115,32.407,332.922,203.868,1.072,1.184,21.478,24.22,5.182,621.55,-361.45,-422.9,38740900000,810.4,Low
4143193,3193-12,0.368,-2957.83,2998.8,0.573,95.741,97.547,0.2,0.241,82.262,81.73,85.965,-0.04,120.875,0.299,-33.927,-31.454,-791.793,-747,50.025,540,16.596,39.663,222.976,17.248,240.972,328.667,208.981,0.837,0.871,21.61,24.439,5.287,546.6,-333.1,-482.9,67459300000,921.2,Low
4148023,8023-06,0.344,-2621,3171.2,0.671,100.562,100.309,1.147,0.195,86.418,86.582,87.243,-0.025,96.766,0.348,-32.74,-30.446,-710.985,-661,-90.972,459.7,16.846,36.883,33.714,17.399,35.195,316.61,208.23,0.599,0.56,21.404,24.086,5.368,601.55,-325.1,-421.5,2.33781E+11,810.3,Low
4135643,5643-07,0.35,-6065.85,3241.6,0.598,97.167,95.172,0.27,0.186,85,84.682,86.464,-0.032,113.328,0.333,-33.636,-31.588,-732.702,-692.4,-93.535,522.7,14.755,35.089,30.37,15.112,32.514,301.895,214.394,0.213,0.284,21.55,24.277,6.084,674.45,-391.65,-435.9,89206100000,899.2,Low
4162983,2983-17,0.38,-3102.22,3119.6,0.678,101.604,96.23,0.928,0.196,86.623,86.919,89.109,-0.047,92.719,0.348,-32.5,-30.634,-706.439,-671,-86.49,447.7,17.162,37.866,33.856,18.254,34.358,270.236,247.949,0.293,0.329,21.827,24.352,6.408,538.45,-346.15,-422.3,83699500000,796.3,Low
4162983,2983-02,0.38,-3058.54,3158.6,0.697,101.289,98.872,1.236,0.208,84.466,86.715,88.442,-0.05,93.219,0.097,-29.558,-30.218,-693.056,-665.2,-123.333,448.8,16.533,41.42,32.475,17.537,34.131,266.295,247.143,0.228,0.242,21.826,24.382,6.665,531.7,-339.35,-423,1.05932E+11,798.6,Low
4140223,0223-21,0.358,-4018.27,3153.4,0.648,97.454,98.562,0.563,0.196,85.812,86.31,86.902,-0.03,102.062,0.339,-33.194,-31.096,-727.02,-686,-90.846,474.9,16.004,37.202,33.371,15.896,34.155,260.192,213.754,0.465,0.5,21.567,24.33,6.393,616.2,-343.85,-433.9,1.23267E+11,836.1,Low
4173913,3913-07,0.364,-3301.26,3145,0.64,99.55,97.472,0.779,0.186,87.152,86.859,88.543,-0.062,97.328,0.366,-31.768,-29.59,-688.384,-648.8,-85.252,472.9,15.99,35.88,30.52,17.434,30.927,277.13,221.498,0.12,0.111,21.58,24.277,6.074,579.5,-1540.5,-407.6,83186000000,833.1,Low
4135643,5643-09,0.354,-5200.46,3224.8,0.585,97.706,98.467,0.222,0.195,85.84,84.96,87.026,-0.026,113.938,0.333,-33.838,-31.712,-737.753,-695.2,-94.495,521.5,15.154,36.443,31.022,15.662,31.684,306,211.414,0.274,0.314,21.632,24.298,5.713,647.5,-382.2,-436.4,68829000000,898.3,Low
4155473,5473-14,0.372,-3234.29,3258.4,0.685,102.89,102.275,0.192,0.211,86.02,84.543,87.42,-0.049,93.859,0.351,-32.702,-30.95,-709.596,-668,-87.954,446.9,15.58,34.69,31.687,16.01,32.103,288.355,205.626,0.183,0.082,21.794,24.469,6.133,601.9,-368.8,-422.3,2.15227E+11,796.2,Low
4173913,3913-22,0.36,-3909.96,3270.8,0.64,101.019,99.759,0.385,0.159,86.405,86.69,88.561,-0.045,100.234,0.36,-32.323,-30.014,-702.904,-660.8,-86.402,469.9,15.936,34.898,30.272,16.461,30.451,290.415,220.975,0.022,0.106,21.529,24.291,6.035,605.7,-1576.5,-416.6,80710200000,831,Low
4135643,5643-25,0.352,-4998.16,3146.2,0.596,97.856,94.09,0.403,0.181,85.04,85.241,85.665,-0.012,113.797,0.335,-33.321,-31.29,-730.429,-689,-92.386,517.8,14.968,35.385,30.982,15.291,31.404,337.018,214.13,0.102,0.223,21.632,24.327,5.765,636.15,-364.3,-434.2,1.1206E+11,894,Low
4155473,5473-21,0.372,-3146.47,3260.6,0.688,98.043,99.653,0.276,0.194,84.831,86.463,88.208,-0.048,94.484,0.352,-32.5,-30.842,-701.768,-667,-85.833,449.9,15.069,33.15,30.081,15.131,30.712,279.713,205.765,0.22,0.068,21.822,24.436,6.069,611.3,-358.05,-422.2,1.71637E+11,797.6,Low
